,rating,likes,genre,top cast,language,director
Alice in Wonderland,3.74,116916,"['Fantasy', 'Animation', 'Family', 'Adventure']","['Kathryn Beaumont', 'Ed Wynn', 'Richard Haydn']",English,Hamilton Luske
The Handmaiden,4.41,247439,"['Thriller', 'Romance', 'Drama']","['Kim Min-hee', 'Kim Tae-ri', 'Ha Jung-woo']",Korean,Park Chan-wook
M,4.32,63296,"['Thriller', 'Drama', 'Crime']","['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']",German,Fritz Lang
The Trial,4.02,13341,"['Crime', 'Drama', 'Mystery']","['Anthony Perkins', 'Jeanne Moreau', 'Romy Schneider']",English,Orson Welles
The Salesman,3.84,13716,"['Drama', 'Thriller']","['Shahab Hosseini', 'Taraneh Alidoosti', 'Babak Karimi']",Persian (Farsi),Asghar Farhadi
His Girl Friday,4.04,34594,"['Romance', 'Comedy']","['Rosalind Russell', 'Cary Grant', 'Ralph Bellamy']",English,Howard Hawks
Sorcerer,4.23,33401,"['Drama', 'Thriller', 'Adventure']","['Roy Scheider', 'Bruno Cremer', 'Francisco Rabal']",English,William Friedkin
How the Grinch Stole Christmas!,3.87,39574,"['Family', 'Comedy', 'Animation']","['Boris Karloff', 'June Foray', 'Dal McKennon']",English,Chuck Jones
All That Jazz,4.31,35733,['Drama'],"['Roy Scheider', 'Ann Reinking', 'Leland Palmer']",English,Bob Fosse
Barry Lyndon,4.39,99188,"['Drama', 'Romance', 'War']","[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee']",English,Stanley Kubrick
Whisper of the Heart,4.15,121303,"['Drama', 'Animation', 'Family']","['Yoko Honna', 'Issey Takahashi', 'Takashi Tachibana']",Japanese,Yoshifumi Kondo
It's Such a Beautiful Day,4.38,48518,"['Comedy', 'Animation']","['Don Hertzfeldt', 'Sara Cushman']",English,Don Hertzfeldt
The Sound of Music,4.1,150352,"['Drama', 'Romance', 'Family', 'Music']","['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker']",English,Robert Wise
Life of Pi,3.71,206271,"['Drama', 'Adventure']","['Suraj Sharma', 'Irrfan Khan', 'Ayush Tandon']",English,Ang Lee
Brazil,4.1,81779,"['Science Fiction', 'Comedy']","['Jonathan Pryce', 'Kim Greist', 'Robert De Niro']",English,Terry Gilliam
Close Encounters of the Third Kind,3.84,78006,"['Drama', 'Science Fiction']","['Richard Dreyfuss', 'François Truffaut', 'Teri Garr']",English,Steven Spielberg
Dog Day Afternoon,4.31,132861,"['Crime', 'Drama', 'Thriller']","['Al Pacino', 'John Cazale', 'Charles Durning']",English,Sidney Lumet
Baby Driver,3.72,854589,"['Crime', 'Action']","['Ansel Elgort', 'Kevin Spacey', 'Lily James']",English,Edgar Wright
Full Metal Jacket,4.2,265644,"['Drama', 'War']","['Matthew Modine', 'Adam Baldwin', ""Vincent D'Onofrio""]",English,Stanley Kubrick
The Texas Chain Saw Massacre,3.85,201318,['Horror'],"['Marilyn Burns', 'Allen Danziger', 'Paul A. Partain']",English,Tobe Hooper
The Big Short,3.81,231673,"['Drama', 'Comedy']","['Steve Carell', 'Christian Bale', 'John Magaro']",English,Adam McKay
Uncut Gems,3.95,478932,"['Thriller', 'Drama', 'Crime']","['Adam Sandler', 'LaKeith Stanfield', 'Julia Fox']",English,Josh Safdie
Lost Highway,4.04,87965,"['Thriller', 'Mystery', 'Drama']","['Bill Pullman', 'Patricia Arquette', 'Balthazar Getty']",English,David Lynch
The Lighthouse,4.04,464747,"['Drama', 'Thriller', 'Fantasy']","['Robert Pattinson', 'Willem Dafoe', 'Valeriia Karaman']",English,Robert Eggers
Double Indemnity,4.26,61939,"['Crime', 'Thriller']","['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']",English,Billy Wilder
Birdman or,3.99,369570,"['Drama', 'Comedy']","['Michael Keaton', 'Emma Stone', 'Zach Galifianakis']",English,Alejandro González Iñárritu
The Raid,4.0,79428,"['Crime', 'Action', 'Thriller']","['Iko Uwais', 'Joe Taslim', 'Donny Alamsyah']",Indonesian,Gareth Evans
Shall We Dance?,3.82,2431,"['Comedy', 'Romance', 'Drama', 'Music']","['Koji Yakusho', 'Tamiyo Kusakari', 'Naoto Takenaka']",Japanese,Masayuki Suō
La Femme Nikita,3.61,10328,"['Thriller', 'Action']","['Anne Parillaud', 'Jean-Hugues Anglade', 'Tchéky Karyo']",French,Luc Besson
The Worst Person in the World,4.13,227056,"['Drama', 'Romance', 'Comedy']","['Renate Reinsve', 'Anders Danielsen Lie', 'Herbert Nordrum']",Norwegian,Joachim Trier
Wild Strawberries,4.33,55054,['Drama'],"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin']",Swedish,Ingmar Bergman
Chef,3.68,102826,['Comedy'],"['Jon Favreau', 'John Leguizamo', 'Bobby Cannavale']",English,Jon Favreau
The Place Beyond the Pines,3.78,101026,"['Drama', 'Crime']","['Ryan Gosling', 'Eva Mendes', 'Bradley Cooper']",English,Derek Cianfrance
Mustang,4.15,37018,['Drama'],"['Güneş Nezihe Şensoy', 'Doğa Zeynep Doğuşlu', 'Elit İşcan']",Turkish,Deniz Gamze Ergüven
Society of the Snow,4.12,266652,"['History', 'Drama']","['Enzo Vogrincic', 'Agustín Pardella', 'Matías Recalt']",Spanish,J. A. Bayona
The Florida Project,4.11,287603,['Drama'],"['Brooklynn Prince', 'Bria Vinaite', 'Willem Dafoe']",English,Sean Baker
Almost Famous,4.03,182423,"['Drama', 'Music']","['Billy Crudup', 'Frances McDormand', 'Kate Hudson']",English,Cameron Crowe
Beetlejuice,3.77,298396,"['Fantasy', 'Comedy']","['Alec Baldwin', 'Geena Davis', 'Jeffrey Jones']",English,Tim Burton
"4 Months, 3 Weeks and 2 Days",4.22,16679,['Drama'],"['Anamaria Marinca', 'Laura Vasiliu', 'Vlad Ivanov']",Romanian,Cristian Mungiu
Love Actually,3.43,203919,"['Drama', 'Romance', 'Comedy']","['Alan Rickman', 'Bill Nighy', 'Colin Firth']",English,Richard Curtis
L.A. Confidential,4.07,93659,"['Mystery', 'Crime', 'Thriller']","['Russell Crowe', 'Guy Pearce', 'Kevin Spacey']",English,Curtis Hanson
Midnight Cowboy,4.12,47769,['Drama'],"['Jon Voight', 'Dustin Hoffman', 'Sylvia Miles']",English,John Schlesinger
12 Years a Slave,4.14,180820,"['History', 'Drama']","['Chiwetel Ejiofor', 'Michael Fassbender', ""Lupita Nyong'o""]",English,Steve McQueen
Cool Hand Luke,4.14,35562,"['Crime', 'Action', 'Drama']","['Paul Newman', 'George Kennedy', 'Luke Askew']",English,Stuart Rosenberg
Days of Heaven,4.11,43989,"['Romance', 'Drama']","['Richard Gere', 'Brooke Adams', 'Sam Shepard']",English,Terrence Malick
Lilya 4-ever,4.12,30063,"['Drama', 'Crime']","['Oksana Akinshina', 'Artyom Bogucharsky', 'Lyubov Agapova']",Swedish,Lukas Moodysson
Another Round,4.08,185234,"['Drama', 'Comedy']","['Mads Mikkelsen', 'Thomas Bo Larsen', 'Magnus Millang']",Danish,Thomas Vinterberg
Tsotsi,3.53,1801,"['Crime', 'Drama']","['Presley Chweneyagae', 'Jerry Mofokeng', 'Terry Pheto']",Tswana,Gavin Hood
Moonrise Kingdom,4.02,381801,"['Romance', 'Drama', 'Comedy']","['Jared Gilman', 'Kara Hayward', 'Bruce Willis']",English,Wes Anderson
North by Northwest,4.19,93561,"['Mystery', 'Adventure', 'Thriller']","['Cary Grant', 'Eva Marie Saint', 'James Mason']",English,Alfred Hitchcock
Basic Instinct,3.6,50792,"['Thriller', 'Mystery']","['Michael Douglas', 'Sharon Stone', 'George Dzundza']",English,Paul Verhoeven
Mask,3.53,4190,['Drama'],"['Cher', 'Sam Elliott', 'Eric Stoltz']",English,Peter Bogdanovich
In the Heat of the Night,4.02,22117,"['Mystery', 'Drama', 'Thriller', 'Crime']","['Sidney Poitier', 'Rod Steiger', 'Warren Oates']",English,Norman Jewison
Breathless,3.93,76760,"['Crime', 'Drama']","['Jean-Paul Belmondo', 'Jean Seberg', 'Daniel Boulanger']",French,Jean-Luc Godard
Police Story,4.01,37614,"['Action', 'Thriller', 'Crime']","['Jackie Chan', 'Brigitte Lin', 'Maggie Cheung']",Cantonese,Jackie Chan
Das Boot,4.28,26220,"['Drama', 'War', 'History']","['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']",German,Wolfgang Petersen
Oldboy,4.39,363775,"['Thriller', 'Mystery', 'Drama', 'Action']","['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jung']",Korean,Park Chan-wook
Mystic River,3.83,79824,"['Thriller', 'Mystery', 'Crime', 'Drama']","['Sean Penn', 'Tim Robbins', 'Kevin Bacon']",English,Clint Eastwood
Picnic at Hanging Rock,3.84,27815,"['Mystery', 'Drama']","['Rachel Roberts', 'Vivean Gray', 'Helen Morse']",English,Peter Weir
King Kong,3.87,30041,"['Adventure', 'Fantasy', 'Horror']","['Robert Armstrong', 'Fay Wray', 'Bruce Cabot']",English,Merian C. Cooper
Thirteen,3.47,96060,['Drama'],"['Evan Rachel Wood', 'Nikki Reed', 'Holly Hunter']",English,Catherine Hardwicke
Mother,4.16,49329,"['Drama', 'Crime', 'Mystery']","['Kim Hye-ja', 'Won Bin', 'Jin Goo']",Korean,Bong Joon-ho
On the Waterfront,4.18,37660,"['Romance', 'Drama', 'Crime']","['Marlon Brando', 'Karl Malden', 'Lee J. Cobb']",English,Elia Kazan
Suspiria,3.95,168341,['Horror'],"['Jessica Harper', 'Stefania Casini', 'Flavio Bucci']",English,Dario Argento
Buffalo '66,3.87,74887,"['Drama', 'Comedy', 'Romance']","['Vincent Gallo', 'Christina Ricci', 'Ben Gazzara']",English,Vincent Gallo
Pirates of the Caribbean: The Curse of the Black Pearl,3.91,411373,"['Fantasy', 'Adventure', 'Action']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",English,Gore Verbinski
Close,4.09,87616,['Drama'],"['Eden Dambrine', 'Gustav De Waele', 'Émilie Dequenne']",French,Lukas Dhont
La Ciénaga,3.87,17043,['Drama'],"['Mercedes Morán', 'Graciela Borges', 'Martín Adjemián']",Spanish,Lucrecia Martel
Rebel Without a Cause,3.83,50812,['Drama'],"['James Dean', 'Natalie Wood', 'Sal Mineo']",English,Nicholas Ray
Nightcrawler,4.04,504790,"['Drama', 'Crime', 'Thriller']","['Jake Gyllenhaal', 'Riz Ahmed', 'Rene Russo']",English,Dan Gilroy
Captain Fantastic,3.91,134029,"['Drama', 'Adventure']","['Viggo Mortensen', 'Samantha Isler', 'Annalise Basso']",English,Matt Ross
After Hours,4.12,94049,"['Thriller', 'Drama', 'Comedy']","['Griffin Dunne', 'Rosanna Arquette', 'Linda Fiorentino']",English,Martin Scorsese
The Bridge on the River Kwai,4.22,29363,"['War', 'History', 'Drama']","['William Holden', 'Alec Guinness', 'Jack Hawkins']",English,David Lean
Serpico,3.9,38182,"['Drama', 'Crime']","['Al Pacino', 'John Randolph', 'Jack Kehoe']",English,Sidney Lumet
Into the Wild,3.79,156121,"['Drama', 'Adventure']","['Emile Hirsch', 'Marcia Gay Harden', 'William Hurt']",English,Sean Penn
"The Cook, the Thief, His Wife & Her Lover",4.14,23009,"['Crime', 'Drama']","['Richard Bohringer', 'Michael Gambon', 'Helen Mirren']",English,Peter Greenaway
Platoon,3.96,67509,"['War', 'Action', 'Drama']","['Charlie Sheen', 'Willem Dafoe', 'Tom Berenger']",English,Oliver Stone
A Beautiful Mind,3.82,125002,"['Drama', 'Romance']","['Russell Crowe', 'Jennifer Connelly', 'Ed Harris']",English,Ron Howard
Solaris,4.25,64095,"['Mystery', 'Science Fiction', 'Drama']","['Donatas Banionis', 'Natalya Bondarchuk', 'Jüri Järvet']",Russian,Andrei Tarkovsky
Casino,4.19,167445,"['Crime', 'Drama', 'History']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",English,Martin Scorsese
Thief,4.08,46162,"['Thriller', 'Crime', 'Action']","['James Caan', 'Tuesday Weld', 'Robert Prosky']",English,Michael Mann
Silver Linings Playbook,3.67,248560,"['Romance', 'Drama', 'Comedy']","['Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro']",English,David O. Russell
Blow Out,4.11,61167,"['Thriller', 'Mystery', 'Crime']","['John Travolta', 'Nancy Allen', 'John Lithgow']",English,Brian De Palma
Empire Records,3.51,45045,"['Music', 'Comedy', 'Drama']","['Anthony LaPaglia', 'Maxwell Caulfield', 'Debi Mazar']",English,Allan Moyle
Finding Forrester,3.4,5767,['Drama'],"['Sean Connery', 'Rob Brown', 'F. Murray Abraham']",English,Gus Van Sant
Rashomon,4.23,78682,"['Crime', 'Drama', 'Mystery']","['Toshirō Mifune', 'Machiko Kyō', 'Takashi Shimura']",Japanese,Akira Kurosawa
Pitch Perfect,3.45,231601,"['Music', 'Comedy', 'Romance']","['Anna Kendrick', 'Brittany Snow', 'Anna Camp']",English,Jason Moore
Apollo 13,3.79,55488,"['History', 'Drama']","['Tom Hanks', 'Bill Paxton', 'Kevin Bacon']",English,Ron Howard
Moulin Rouge!,3.74,135972,"['Romance', 'Music', 'Drama']","['Nicole Kidman', 'Ewan McGregor', 'John Leguizamo']",English,Baz Luhrmann
All About My Mother,4.14,70614,"['Comedy', 'Drama']","['Cecilia Roth', 'Marisa Paredes', 'Candela Peña']",Spanish,Pedro Almodóvar
Central Station,4.23,41183,['Drama'],"['Fernanda Montenegro', 'Vinícius de Oliveira', 'Marília Pêra']",Portuguese,Walter Salles
Shallow Grave,3.75,21398,"['Thriller', 'Crime']","['Kerry Fox', 'Christopher Eccleston', 'Ewan McGregor']",English,Danny Boyle
Fanny and Alexander,4.41,24010,"['Mystery', 'Drama', 'Fantasy']","['Pernilla Allwin', 'Bertil Guve', 'Jan Malmsjö']",Swedish,Ingmar Bergman
The Rules of the Game,4.07,16562,"['Drama', 'Comedy', 'Romance']","['Jean Renoir', 'Marcel Dalio', 'Nora Gregor']",French,Jean Renoir
Napoleon Dynamite,3.67,164577,['Comedy'],"['Jon Heder', 'Efren Ramirez', 'Tina Majorino']",English,Jared Hess
Willy Wonka & the Chocolate Factory,3.81,161788,"['Comedy', 'Family', 'Fantasy']","['Cast', 'Crew', 'Details']",English,Mel Stuart
The Umbrellas of Cherbourg,4.14,53504,"['Drama', 'Romance']","['Catherine Deneuve', 'Nino Castelnuovo', 'Anne Vernon']",French,Jacques Demy
The Fabelmans,4.01,183022,['Drama'],"['Gabriel LaBelle', 'Michelle Williams', 'Paul Dano']",English,Steven Spielberg
Fiddler on the Roof,4.04,16124,"['Drama', 'Romance']","['Topol', 'Norma Crane', 'Leonard Frey']",English,Norman Jewison
Miracle on 34th Street,3.78,17592,"['Comedy', 'Drama', 'Family']","[""Maureen O'Hara"", 'John Payne', 'Edmund Gwenn']",English,George Seaton
West Side Story,3.82,70702,"['Romance', 'Crime', 'Drama']","['Richard Beymer', 'Natalie Wood', 'Rita Moreno']",English,Robert Wise
Ran,4.5,63849,"['Drama', 'History', 'Action']","['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu']",Japanese,Akira Kurosawa
Ghostbusters,3.76,243782,"['Comedy', 'Fantasy']","['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver']",English,Ivan Reitman
The Edge of Seventeen,3.53,209957,"['Drama', 'Comedy']","['Hailee Steinfeld', 'Woody Harrelson', 'Haley Lu Richardson']",English,Kelly Fremon Craig
Kramer vs. Kramer,4.02,38449,['Drama'],"['Dustin Hoffman', 'Meryl Streep', 'Jane Alexander']",English,Robert Benton
The Talented Mr. Ripley,3.83,104381,"['Crime', 'Drama', 'Thriller']","['Matt Damon', 'Jude Law', 'Gwyneth Paltrow']",English,Anthony Minghella
Billy Elliot,4.0,73029,"['Drama', 'Music', 'Comedy']","['Jamie Bell', 'Gary Lewis', 'Julie Walters']",English,Stephen Daldry
Ashes and Diamonds,4.02,7987,"['War', 'Romance', 'Drama']","['Zbigniew Cybulski', 'Ewa Krzyżewska', 'Wacław Zastrzeżynski']",Polish,Andrzej Wajda
A Room with a View,3.69,16476,"['Romance', 'Drama']","['Helena Bonham Carter', 'Julian Sands', 'Maggie Smith']",English,James Ivory
Oppenheimer,4.24,921440,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon']",English,Christopher Nolan
Trading Places,3.62,30523,['Comedy'],"['Dan Aykroyd', 'Eddie Murphy', 'Ralph Bellamy']",English,John Landis
Mr. Smith Goes to Washington,4.09,19965,"['Comedy', 'Drama']","['James Stewart', 'Jean Arthur', 'Claude Rains']",English,Frank Capra
Fantastic Mr. Fox,4.27,762856,"['Family', 'Adventure', 'Comedy', 'Animation']","['George Clooney', 'Meryl Streep', 'Jason Schwartzman']",English,Wes Anderson
L'Avventura,4.08,22038,"['Drama', 'Mystery']","['Monica Vitti', 'Lea Massari', 'Gabriele Ferzetti']",Italian,Michelangelo Antonioni
Ponyo,4.04,302556,"['Family', 'Fantasy', 'Animation']","['Yuria Kozuki', 'Hiroki Doi', 'George Tokoro']",Japanese,Hayao Miyazaki
Boyz n the Hood,4.03,70060,"['Drama', 'Crime']","['Cuba Gooding Jr.', 'Laurence Fishburne', 'Ice Cube']",English,John Singleton
Brief Encounter,4.3,31044,"['Romance', 'Drama']","['Celia Johnson', 'Trevor Howard', 'Stanley Holloway']",English,David Lean
American Graffiti,3.73,37403,"['Drama', 'Comedy']","['Richard Dreyfuss', 'Ron Howard', 'Paul Le Mat']",English,George Lucas
The Peanut Butter Falcon,3.83,74052,"['Drama', 'Adventure', 'Comedy']","['Shia LaBeouf', 'Zack Gottsagen', 'Dakota Johnson']",English,Tyler Nilson
Living,3.56,15590,['Drama'],"['Bill Nighy', 'Aimee Lou Wood', 'Alex Sharp']",English,Oliver Hermanus
Orpheus,4.07,11177,"['Fantasy', 'Romance', 'Drama']","['Jean Marais', 'François Périer', 'María Casares']",French,Jean Cocteau
The Conversation,4.17,59058,"['Drama', 'Crime', 'Mystery']","['Gene Hackman', 'John Cazale', 'Allen Garfield']",English,Francis Ford Coppola
Malena,3.57,18094,['Drama'],"['Monica Bellucci', 'Giuseppe Sulfaro', 'Luciano Federico']",Italian,Giuseppe Tornatore
The Deer Hunter,4.18,69438,"['War', 'Drama']","['Robert De Niro', 'Christopher Walken', 'John Cazale']",English,Michael Cimino
The Incredibles,4.07,632887,"['Animation', 'Family', 'Adventure', 'Action']","['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']",English,Brad Bird
The Stepford Wives,3.69,11709,"['Mystery', 'Science Fiction', 'Horror', 'Thriller']","['Katharine Ross', 'Paula Prentiss', 'Nanette Newman']",English,Bryan Forbes
Angel Heart,3.64,17611,"['Horror', 'Mystery']","['Mickey Rourke', 'Robert De Niro', 'Lisa Bonet']",English,Alan Parker
Point Break,3.73,83441,"['Thriller', 'Crime', 'Action']","['Patrick Swayze', 'Keanu Reeves', 'Gary Busey']",English,Kathryn Bigelow
Uptown Girls,3.78,59563,"['Drama', 'Comedy']","['Brittany Murphy', 'Dakota Fanning', 'Marley Shelton']",English,Boaz Yakin
Breaking Away,3.92,7753,"['Comedy', 'Drama']","['Dennis Christopher', 'Dennis Quaid', 'Daniel Stern']",English,Peter Yates
The Seven Year Itch,3.37,10869,"['Comedy', 'Romance']","['Marilyn Monroe', 'Tom Ewell', 'Evelyn Keyes']",English,Billy Wilder
Menace II Society,3.86,21122,"['Crime', 'Drama']","['Tyrin Turner', 'Larenz Tate', 'Glenn Plummer']",English,Albert Hughes
Fast Times at Ridgemont High,3.48,41135,['Comedy'],"['Sean Penn', 'Jennifer Jason Leigh', 'Judge Reinhold']",English,Amy Heckerling
Halloween,3.81,295441,"['Horror', 'Thriller']","['Donald Pleasence', 'Jamie Lee Curtis', 'P.J. Soles']",English,John Carpenter
The Motorcycle Diaries,3.86,18353,['Drama'],"['Gael García Bernal', 'Rodrigo de la Serna', 'Mercedes Morán']",Spanish,Walter Salles
Gattaca,3.77,76612,"['Thriller', 'Romance', 'Mystery', 'Science Fiction']","['Ethan Hawke', 'Uma Thurman', 'Jude Law']",English,Andrew Niccol
Scott Pilgrim vs. the World,3.87,845768,"['Comedy', 'Romance', 'Action']","['Michael Cera', 'Mary Elizabeth Winstead', 'Ellen Wong']",English,Edgar Wright
Hachi: A Dog's Tale,3.74,45787,"['Drama', 'Family']","['Richard Gere', 'Joan Allen', 'Sarah Roemer']",English,Lasse Hallström
All Quiet on the Western Front,4.13,15715,"['Drama', 'War']","['Louis Wolheim', 'Lew Ayres', 'John Wray']",English,Lewis Milestone
Holiday,3.94,9757,"['Comedy', 'Romance', 'Drama']","['Katharine Hepburn', 'Cary Grant', 'Doris Nolan']",English,George Cukor
Paprika,4.08,143893,"['Animation', 'Thriller', 'Science Fiction', 'Drama', 'Fantasy', 'Mystery']","['Megumi Hayashibara', 'Tohru Emori', 'Katsunosuke Hori']",Japanese,Satoshi Kon
Gravity,3.5,207000,"['Thriller', 'Drama', 'Science Fiction']","['Sandra Bullock', 'George Clooney', 'Ed Harris']",English,Alfonso Cuarón
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.31,193491,"['Comedy', 'War', 'Drama']","['Peter Sellers', 'George C. Scott', 'Sterling Hayden']",English,Stanley Kubrick
The Game,3.76,116527,"['Thriller', 'Drama', 'Mystery']","['Michael Douglas', 'Sean Penn', 'Deborah Kara Unger']",English,David Fincher
A Clockwork Orange,4.13,428245,"['Science Fiction', 'Crime']","['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']",English,Stanley Kubrick
The Fugitive,3.89,61989,"['Drama', 'Action', 'Thriller']","['Harrison Ford', 'Tommy Lee Jones', 'Joe Pantoliano']",English,Andrew Davis
Blood Simple,3.9,49947,"['Crime', 'Drama', 'Thriller']","['John Getz', 'Frances McDormand', 'Dan Hedaya']",English,Joel Coen
Harold and Maude,4.1,53544,"['Drama', 'Comedy', 'Romance']","['Ruth Gordon', 'Bud Cort', 'Vivian Pickles']",English,Hal Ashby
Beautiful Boy,3.87,243669,['Drama'],"['Steve Carell', 'Timothée Chalamet', 'Maura Tierney']",English,Felix van Groeningen
The Last Emperor,3.89,16269,"['Drama', 'History']","['John Lone', 'Joan Chen', ""Peter O'Toole""]",English,Bernardo Bertolucci
Rope,4.13,83599,"['Crime', 'Drama', 'Thriller']","['James Stewart', 'John Dall', 'Farley Granger']",English,Alfred Hitchcock
Erin Brockovich,3.81,60611,['Drama'],"['Julia Roberts', 'Albert Finney', 'Aaron Eckhart']",English,Steven Soderbergh
The Untouchables,3.82,66381,"['History', 'Thriller', 'Crime', 'Drama']","['Kevin Costner', 'Sean Connery', 'Charles Martin Smith']",English,Brian De Palma
The Chorus,3.92,27088,['Drama'],"['Gérard Jugnot', 'François Berléand', 'Kad Merad']",French,Christophe Barratier
The Full Monty,3.66,17050,['Comedy'],"['Robert Carlyle', 'Mark Addy', 'Wim Snape']",English,Peter Cattaneo
Bridget Jones's Diary,3.41,109596,"['Comedy', 'Romance', 'Drama']","['Renée Zellweger', 'Colin Firth', 'Hugh Grant']",English,Sharon Maguire
A Streetcar Named Desire,4.0,38271,['Drama'],"['Vivien Leigh', 'Marlon Brando', 'Kim Hunter']",English,Elia Kazan
The Menu,3.54,620229,"['Comedy', 'Thriller', 'Horror']","['Anya Taylor-Joy', 'Ralph Fiennes', 'Nicholas Hoult']",English,Mark Mylod
Vive L'Amour,4.07,8857,['Drama'],"['Lee Kang-sheng', 'Yang Kuei-Mei', 'Chen Chao-jung']",Chinese,Tsai Ming-liang
The Karate Kid,3.73,107595,"['Family', 'Drama', 'Action']","['Ralph Macchio', 'Pat Morita', 'Elisabeth Shue']",English,John G. Avildsen
The Devil's Backbone,3.82,24990,"['Horror', 'Thriller', 'Drama', 'Fantasy']","['Marisa Paredes', 'Eduardo Noriega', 'Federico Luppi']",Spanish,Guillermo del Toro
Purple Noon,3.98,13356,"['Drama', 'Crime', 'Thriller']","['Alain Delon', 'Marie Laforêt', 'Maurice Ronet']",French,René Clément
Touch of Evil,4.17,31738,"['Thriller', 'Mystery', 'Crime']","['Charlton Heston', 'Janet Leigh', 'Orson Welles']",English,Orson Welles
Eighth Grade,3.79,153719,"['Comedy', 'Drama']","['Elsie Fisher', 'Josh Hamilton', 'Emily Robinson']",English,Bo Burnham
The Return,4.12,10726,['Drama'],"['Vladimir Garin', 'Konstantin Lavronenko', 'Nataliya Vdovina']",Russian,Andrey Zvyagintsev
A Summer's Tale,4.08,18647,"['Comedy', 'Romance', 'Drama']","['Melvil Poupaud', 'Amanda Langlet', 'Gwenaëlle Simon']",French,Éric Rohmer
The Great Beauty,4.09,43816,['Drama'],"['Toni Servillo', 'Carlo Verdone', 'Sabrina Ferilli']",Italian,Paolo Sorrentino
The Vanishing,4.03,26362,"['Mystery', 'Thriller']","['Bernard-Pierre Donnadieu', 'Gene Bervoets', 'Johanna ter Steege']",Dutch,George Sluizer
The Girl with the Dragon Tattoo,3.87,162907,"['Crime', 'Mystery', 'Thriller']","['Daniel Craig', 'Rooney Mara', 'Christopher Plummer']",English,David Fincher
Past Lives,4.19,392415,"['Drama', 'Romance']","['Greta Lee', 'Teo Yoo', 'John Magaro']",English,Celine Song
Monty Python and the Holy Grail,4.13,231811,"['Fantasy', 'Comedy', 'Adventure']","['Graham Chapman', 'John Cleese', 'Eric Idle']",English,Terry Gilliam
Legally Blonde,3.77,307202,"['Romance', 'Comedy']","['Reese Witherspoon', 'Luke Wilson', 'Selma Blair']",English,Robert Luketic
A Separation,4.36,53560,['Drama'],"['Payman Maadi', 'Sare Bayat', 'Leila Hatami']",Persian (Farsi),Asghar Farhadi
The King of Comedy,4.24,118355,"['Comedy', 'Drama']","['Robert De Niro', 'Jerry Lewis', 'Sandra Bernhard']",English,Martin Scorsese
Midsommar,3.78,1054151,"['Mystery', 'Drama', 'Horror']","['Florence Pugh', 'Jack Reynor', 'William Jackson Harper']",English,Ari Aster
Witness for the Prosecution,4.33,25554,"['Mystery', 'Crime', 'Drama']","['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']",English,Billy Wilder
The English Patient,3.56,17483,"['Drama', 'Romance', 'War']","['Ralph Fiennes', 'Juliette Binoche', 'Willem Dafoe']",English,Anthony Minghella
The Great Escape,4.13,36189,"['History', 'Drama', 'War', 'Thriller', 'Adventure']","['Steve McQueen', 'James Garner', 'Richard Attenborough']",English,John Sturges
PlayTime,4.2,32778,['Comedy'],"['Jacques Tati', 'Barbara Dennek', 'Rita Maiden']",French,Jacques Tati
Fantasia,3.9,84321,"['Family', 'Fantasy', 'Animation']","['Deems Taylor', 'Walt Disney', 'Julietta Novis']",English,David Hand
Predator,3.79,132089,"['Thriller', 'Science Fiction', 'Adventure', 'Action']","['Arnold Schwarzenegger', 'Carl Weathers', 'Elpidia Carrillo']",English,John McTiernan
Thesis,3.8,19944,"['Thriller', 'Horror']","['Ana Torrent', 'Fele Martínez', 'Eduardo Noriega']",Spanish,Alejandro Amenábar
Who's Afraid of Virginia Woolf?,4.24,26314,['Drama'],"['Richard Burton', 'Elizabeth Taylor', 'George Segal']",English,Mike Nichols
Primal Fear,3.87,65607,"['Drama', 'Crime', 'Thriller', 'Mystery']","['Richard Gere', 'Laura Linney', 'Edward Norton']",English,Gregory Hoblit
Guess Who's Coming to Dinner,3.81,12167,"['Romance', 'Comedy', 'Drama']","['Katharine Houghton', 'Sidney Poitier', 'Katharine Hepburn']",English,Stanley Kramer
Jumanji,3.6,168917,"['Fantasy', 'Family', 'Adventure']","['Robin Williams', 'Kirsten Dunst', 'Bradley Pierce']",English,Joe Johnston
"What's Up, Doc?",4.06,21608,"['Romance', 'Comedy']","['Barbra Streisand', ""Ryan O'Neal"", 'Madeline Kahn']",English,Peter Bogdanovich
