,rating,likes,genre,top cast,language,director
Misery,3.97,126534,"['Horror', 'Drama', 'Thriller']","['James Caan', 'Kathy Bates', 'Richard Farnsworth']",English,Rob Reiner
Die Hard,4.07,312702,"['Thriller', 'Action']","['Bruce Willis', 'Alan Rickman', 'Alexander Godunov']",English,John McTiernan
BlacKkKlansman,3.94,349110,"['Drama', 'Comedy', 'History', 'Crime']","['John David Washington', 'Adam Driver', 'Topher Grace']",English,Spike Lee
Mission: Impossible,3.59,139966,"['Action', 'Thriller', 'Adventure']","['Tom Cruise', 'Jon Voight', 'Emmanuelle Béart']",English,Brian De Palma
The Nightmare Before Christmas,3.95,479839,"['Family', 'Animation', 'Fantasy']","['Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara""]",English,Henry Selick
Superbad,3.88,510158,['Comedy'],"['Jonah Hill', 'Michael Cera', 'Christopher Mintz-Plasse']",English,Greg Mottola
Trainspotting,4.19,342801,"['Drama', 'Crime']","['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller']",English,Danny Boyle
Friday,3.54,44474,['Comedy'],"['Ice Cube', 'Chris Tucker', 'Nia Long']",English,F. Gary Gray
The Princess Diaries,3.63,230625,"['Comedy', 'Family', 'Romance']","['Anne Hathaway', 'Julie Andrews', 'Patrick John Flueger']",English,Garry Marshall
Raiders of the Lost Ark,4.16,389825,"['Adventure', 'Action']","['Harrison Ford', 'Karen Allen', 'Paul Freeman']",English,Steven Spielberg
The Lord of the Rings: The Fellowship of the Ring,4.36,806772,"['Fantasy', 'Adventure', 'Action']","['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",English,Peter Jackson
Coco,4.12,823087,"['Adventure', 'Animation', 'Music', 'Family']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']",English,Lee Unkrich
Drive,3.94,559195,"['Thriller', 'Drama', 'Crime']","['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston']",English,Nicolas Winding Refn
Aladdin,3.88,241430,"['Adventure', 'Romance', 'Family', 'Fantasy', 'Animation']","['Scott Weinger', 'Robin Williams', 'Linda Larkin']",English,Ron Clements
Braveheart,3.86,102655,"['History', 'Action', 'Drama', 'War']","['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau']",English,Mel Gibson
Rain Man,3.86,97353,['Drama'],"['Dustin Hoffman', 'Tom Cruise', 'Valeria Golino']",English,Barry Levinson
Goldfinger,3.78,47433,"['Action', 'Adventure', 'Thriller']","['Sean Connery', 'Gert Fröbe', 'Honor Blackman']",English,Guy Hamilton
Step Brothers,3.43,124143,['Comedy'],"['Will Ferrell', 'John C. Reilly', 'Mary Steenburgen']",English,Adam McKay
The King's Speech,3.78,117454,"['History', 'Drama']","['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter']",English,Tom Hooper
Secrets & Lies,4.23,16144,['Drama'],"['Brenda Blethyn', 'Marianne Jean-Baptiste', 'Timothy Spall']",English,Mike Leigh
A Man and a Woman,3.89,4363,"['Drama', 'Romance']","['Anouk Aimée', 'Jean-Louis Trintignant', 'Pierre Barouh']",French,Claude Lelouch
WALL·E,4.19,785609,"['Animation', 'Science Fiction', 'Family']","['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",English,Andrew Stanton
Raise the Red Lantern,4.28,15455,['Drama'],"['Gong Li', 'Ma Jingwu', 'He Saifei']",Chinese,Zhang Yimou
A Taxi Driver,4.15,24182,"['Drama', 'History', 'Action']","['Song Kang-ho', 'Thomas Kretschmann', 'Yoo Hai-jin']",Korean,Jang Hoon
